Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Asian,American Indian/Alaskan Native,Black/African American,Hispanic/Latino,White,Native Hawaiian/Pacific Islander,Multiple Races,Total
2022,Arizona,,,,34146,47580,64183,532761,405759,4224,44346,*
2022,St Johns Unified District,4153,Coronado Elementary School,4517,*,17,*,75,172,*,*,270
2022,St Johns Unified District,4153,St Johns Middle School,4710,*,29,*,92,216,*,*,345
2022,St Johns Unified District,4153,St Johns High School,4711,*,31,*,75,185,*,*,302
2022,St Johns Unified District,4153,St. Johns Learning Center,89607,*,*,*,*,*,*,*,13
2022,Window Rock Unified District,4154,Integrated Preschool,4713,*,17,*,*,*,*,*,18
2022,Window Rock Unified District,4154,Tsehootsooi Intermediate Learning Center,4714,*,315,*,*,*,*,*,315
2022,Window Rock Unified District,4154,Tsehootsooi Primary Learning Center,4715,*,375,*,*,*,*,*,384
2022,Window Rock Unified District,4154,Tsehootsooi Middle School,4716,*,280,*,*,*,*,*,281
2022,Window Rock Unified District,4154,Window Rock High School,4717,*,604,*,*,*,*,*,612
2022,Window Rock Unified District,4154,Tsehootsooi Dine Bi'Olta,85882,*,85,*,*,*,*,*,85
2022,Round Valley Unified District,4155,Round Valley Elementary School,4719,*,23,*,132,356,*,*,525
2022,Round Valley Unified District,4155,Round Valley Middle School,4720,*,13,*,129,278,*,*,433
2022,Round Valley Unified District,4155,Round Valley High School,4721,*,16,*,132,245,*,16,412
2022,Round Valley Unified District,4155,Round Valley AOI,92686,*,*,*,14,15,*,*,31
2022,Sanders Unified District,4156,Sanders Elementary School,4722,*,217,*,18,*,*,13,252
2022,Sanders Unified District,4156,Sanders Middle School,4723,*,148,*,*,*,*,*,152
2022,Sanders Unified District,4156,Valley High School,4724,*,188,*,*,*,*,*,197
2022,Sanders Unified District,4156,Lichíí’ Deezh’áhí Learning Academy,1001188,*,43,*,*,*,*,*,48
2022,Ganado Unified School District,4157,Ganado Primary School,4725,*,196,*,*,*,*,*,205
2022,Ganado Unified School District,4157,Ganado Intermediate School,4726,*,147,*,*,*,*,*,155
2022,Ganado Unified School District,4157,Ganado Middle School,4727,*,279,*,*,*,*,*,296
2022,Ganado Unified School District,4157,Ganado High School,4728,*,394,*,*,*,*,*,407
2022,Chinle Unified District,4158,Chinle Junior High School,4731,*,274,*,*,*,*,*,277
2022,Chinle Unified District,4158,Chinle Elementary School,4732,*,341,*,*,*,*,*,344
2022,Chinle Unified District,4158,Canyon De Chelly Elementary School,4733,*,207,*,*,*,*,*,207
2022,Chinle Unified District,4158,Many Farms Elementary School,4734,*,209,*,*,*,*,*,211
2022,Chinle Unified District,4158,Tsaile Elementary School,4735,*,245,*,*,*,*,*,253
2022,Chinle Unified District,4158,Mesa View Elementary,4736,*,213,*,*,*,*,*,217
2022,Chinle Unified District,4158,Chinle High School,4737,*,702,*,*,*,*,*,708
2022,Chinle Unified District,4158,Hozho Online Academy,1001800,*,930,*,12,*,*,*,945
2022,Red Mesa Unified District,4159,Red Mesa Elementary School,4738,*,121,*,*,*,*,*,128
2022,Red Mesa Unified District,4159,Round Rock Elementary School,4739,*,68,*,*,*,*,*,68
2022,Red Mesa Unified District,4159,Red Mesa Junior High School,4740,*,71,*,*,*,*,*,73
2022,Red Mesa Unified District,4159,Red Mesa High School,4741,*,164,*,*,*,*,*,168
2022,Red Mesa Unified District,4159,Red Valley/Cove High School,88386,*,14,*,*,*,*,*,14
2022,Concho Elementary District,4160,Concho Elementary School,4742,*,*,*,41,119,*,12,172
2022,Alpine Elementary District,4161,Alpine Elementary School,4743,*,*,*,*,41,*,*,55
2022,Vernon Elementary District,4162,Vernon Elementary School,4744,*,*,*,15,93,*,*,110
2022,Mcnary Elementary District,4163,Mcnary Elementary School,4745,*,118,*,*,*,*,*,118
2022,Fort Huachuca Accommodation District,4167,Colonel Johnston Elementary School,4747,*,*,25,85,158,*,33,316
2022,Fort Huachuca Accommodation District,4167,Colonel Smith Middle School,4748,*,*,38,58,130,*,15,253
2022,Fort Huachuca Accommodation District,4167,General Myer Elementary School,5982,*,*,31,67,153,*,27,294
2022,Tombstone Unified District,4168,Huachuca City School,4749,*,*,*,111,138,*,19,273
