Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total
2022,Arizona,,,,17777,79187,78956,82114,81993,81916,83052,83998,87888,91559,94644,90386,86179,92918,*
2022,St Johns Unified District,4153,Coronado Elementary School,4517,*,68,71,58,71,*,*,*,*,*,*,*,*,*,270
2022,St Johns Unified District,4153,St Johns Middle School,4710,*,*,*,*,*,60,67,80,69,69,*,*,*,*,345
2022,St Johns Unified District,4153,St Johns High School,4711,*,*,*,*,*,*,*,*,*,*,93,80,76,53,302
2022,St Johns Unified District,4153,St. Johns Learning Center,89607,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13
2022,Window Rock Unified District,4154,Integrated Preschool,4713,18,*,*,*,*,*,*,*,*,*,*,*,*,*,18
2022,Window Rock Unified District,4154,Tsehootsooi Intermediate Learning Center,4714,*,*,*,*,*,91,116,108,*,*,*,*,*,*,315
2022,Window Rock Unified District,4154,Tsehootsooi Primary Learning Center,4715,*,92,115,86,91,*,*,*,*,*,*,*,*,*,384
2022,Window Rock Unified District,4154,Tsehootsooi Middle School,4716,*,*,*,*,*,*,*,*,126,155,*,*,*,*,281
2022,Window Rock Unified District,4154,Window Rock High School,4717,*,*,*,*,*,*,*,*,*,*,134,157,159,162,612
2022,Window Rock Unified District,4154,Tsehootsooi Dine Bi'Olta,85882,*,15,*,14,13,13,*,11,*,*,*,*,*,*,85
2022,Round Valley Unified District,4155,Round Valley Elementary School,4719,25,121,87,100,89,103,*,*,*,*,*,*,*,*,525
2022,Round Valley Unified District,4155,Round Valley Middle School,4720,*,*,*,*,*,*,122,100,112,99,*,*,*,*,433
2022,Round Valley Unified District,4155,Round Valley High School,4721,*,*,*,*,*,*,*,*,*,*,115,119,88,90,412
2022,Round Valley Unified District,4155,Round Valley AOI,92686,*,*,*,*,*,*,*,*,*,*,*,*,13,*,31
2022,Sanders Unified District,4156,Sanders Elementary School,4722,*,35,35,38,35,38,62,*,*,*,*,*,*,*,252
2022,Sanders Unified District,4156,Sanders Middle School,4723,*,*,*,*,*,*,*,36,62,54,*,*,*,*,152
2022,Sanders Unified District,4156,Valley High School,4724,*,*,*,*,*,*,*,*,*,*,57,39,40,61,197
2022,Sanders Unified District,4156,Lichíí’ Deezh’áhí Learning Academy,1001188,*,*,*,*,*,*,*,*,*,*,*,*,*,*,48
2022,Ganado Unified School District,4157,Ganado Primary School,4725,*,67,66,70,*,*,*,*,*,*,*,*,*,*,205
2022,Ganado Unified School District,4157,Ganado Intermediate School,4726,*,*,*,*,40,58,57,*,*,*,*,*,*,*,155
2022,Ganado Unified School District,4157,Ganado Middle School,4727,*,*,*,*,*,*,*,76,117,103,*,*,*,*,296
2022,Ganado Unified School District,4157,Ganado High School,4728,*,*,*,*,*,*,*,*,*,*,97,103,107,100,407
2022,Chinle Unified District,4158,Chinle Junior High School,4731,*,*,*,*,*,*,*,*,149,128,*,*,*,*,277
2022,Chinle Unified District,4158,Chinle Elementary School,4732,*,41,49,58,38,51,54,45,*,*,*,*,*,*,344
2022,Chinle Unified District,4158,Canyon De Chelly Elementary School,4733,*,26,31,30,22,28,34,36,*,*,*,*,*,*,207
2022,Chinle Unified District,4158,Many Farms Elementary School,4734,*,20,27,17,23,22,28,31,22,21,*,*,*,*,211
2022,Chinle Unified District,4158,Tsaile Elementary School,4735,*,32,17,34,33,23,20,22,38,34,*,*,*,*,253
2022,Chinle Unified District,4158,Mesa View Elementary,4736,*,29,21,37,31,27,34,38,*,*,*,*,*,*,217
2022,Chinle Unified District,4158,Chinle High School,4737,*,*,*,*,*,*,*,*,*,*,134,176,177,221,708
2022,Chinle Unified District,4158,Hozho Online Academy,1001800,*,96,74,86,106,84,74,73,73,59,42,49,49,80,945
2022,Red Mesa Unified District,4159,Red Mesa Elementary School,4738,*,25,21,11,22,22,26,*,*,*,*,*,*,*,128
2022,Red Mesa Unified District,4159,Round Rock Elementary School,4739,*,*,13,*,14,11,*,*,*,*,*,*,*,*,68
2022,Red Mesa Unified District,4159,Red Mesa Junior High School,4740,*,*,*,*,*,*,*,21,24,28,*,*,*,*,73
2022,Red Mesa Unified District,4159,Red Mesa High School,4741,*,*,*,*,*,*,*,*,*,*,40,51,47,30,168
2022,Red Mesa Unified District,4159,Red Valley/Cove High School,88386,*,*,*,*,*,*,*,*,*,*,*,*,*,*,14
2022,Concho Elementary District,4160,Concho Elementary School,4742,12,21,16,19,18,14,15,18,14,25,*,*,*,*,172
2022,Alpine Elementary District,4161,Alpine Elementary School,4743,*,*,*,*,*,*,*,*,*,*,*,*,*,*,55
2022,Vernon Elementary District,4162,Vernon Elementary School,4744,*,13,*,14,14,*,16,*,12,13,*,*,*,*,110
2022,Mcnary Elementary District,4163,Mcnary Elementary School,4745,*,13,11,12,*,*,14,18,11,19,*,*,*,*,118
2022,Fort Huachuca Accommodation District,4167,Colonel Johnston Elementary School,4747,*,101,103,104,*,*,*,*,*,*,*,*,*,*,316
2022,Fort Huachuca Accommodation District,4167,Colonel Smith Middle School,4748,*,*,*,*,*,*,*,82,87,84,*,*,*,*,253
2022,Fort Huachuca Accommodation District,4167,General Myer Elementary School,5982,*,*,*,*,109,95,90,*,*,*,*,*,*,*,294
2022,Tombstone Unified District,4168,Huachuca City School,4749,*,35,37,35,35,20,28,22,23,30,*,*,*,*,273
2022,Tombstone Unified District,4168,Walter J Meyer School,4750,*,15,12,12,14,17,22,17,25,20,*,*,*,*,154
2022,Tombstone Unified District,4168,Tombstone High School,4751,*,*,*,*,*,*,*,*,*,*,155,125,94,77,451
2022,Bisbee Unified District,4169,Greenway Primary School,4752,*,29,29,25,32,37,35,*,*,*,*,*,*,*,187
2022,Bisbee Unified District,4169,Lowell School,4753,*,*,*,*,*,*,*,37,38,50,*,*,*,*,125
2022,Bisbee Unified District,4169,Bisbee High School,4754,*,*,*,*,*,*,*,*,*,*,91,77,85,69,322
2022,Bisbee Unified District,4169,Copper Credits,1000301,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,Willcox Unified District,4170,Willcox Elementary School,4755,15,75,82,65,59,81,*,*,*,*,*,*,*,*,377
2022,Willcox Unified District,4170,Willcox Middle School,4756,*,*,*,*,*,*,68,71,78,90,*,*,*,*,307
2022,Willcox Unified District,4170,Willcox High School,4757,*,*,*,*,*,*,*,*,*,*,103,89,94,88,374
